"","spacing","L","time.m","time.nm","N","N.nm","Likelihood.m","Likelihood.nm"
"1",0.1,10,5.81380401452382,2.99337104956309,15.9651481704593,14.3689038218527,162.838576223025,215.330547138897
"2",0.1,50,20.1379299998283,7.9831406990687,12.6327241674243,14.3689038218527,164.93550463693,215.330547138897
"3",0.1,100,27.5840522845586,15.2026768684387,12.5168330736949,14.3689038218527,164.865138911607,215.330547138897
"4",0.1,200,54.5581991473834,33.8775697350502,12.4764566035334,14.3689038218527,164.844762635208,215.330547138897
"5",0.2,10,2.82091263135274,1.07699948549271,16.0740484557799,14.3997816179026,162.834636755934,215.330048112396
"6",0.2,50,8.32544253269831,2.47120495239894,12.6501575777755,14.3997816179026,164.934302502305,215.330048112396
"7",0.2,100,9.07234119971593,3.89358438650767,12.5329743859585,14.3997816179026,164.863561993715,215.330048112396
"8",0.2,200,14.7783003846804,6.22608919938405,12.4937602186883,14.3997816179026,164.843046488416,215.330048112396
"9",0.5,10,0.242770683765411,0.125732731819153,16.2510495334618,13.4218939503479,164.264254843787,217.908696347023
"10",0.5,50,0.660881181557973,0.323779686292013,15.3038385723382,13.4218939503479,166.729203241539,217.908696347023
"11",0.5,100,1.2624943335851,0.548245882987976,15.1706280432327,13.4218939503479,166.813818278513,217.908696347023
"12",0.5,200,2.70125583410263,1.149021367232,12.233479723907,13.4218939503479,164.736153410525,217.908696347023
"13",1,10,0.0634767492612203,0.02829403479894,15.6927399075745,14.2104969949827,173.499089004856,218.888268813919
"14",1,50,0.242096447944641,0.0775301178296407,15.4416251047183,14.2104969949827,173.904402710692,218.888268813919
"15",1,100,0.320465350151062,0.137595951557159,15.405611988528,14.2104969949827,173.908320569053,218.888268813919
"16",1,200,0.682967031002045,0.256210998694102,15.393757482201,14.2104969949827,173.925204623989,218.888268813919
