"id","y","Time"
1,4,4.327
2,7,9.416
3,11,1.795
3,11,1.833
3,11,1.967
3,11,2.018
3,11,2.379
3,7,3.391
3,7,3.635
3,7,3.898
3,10,7.481
3,10,7.574
3,10,7.866
3,10,7.964
3,10,8.261
4,11,8.553
4,11,8.641
4,11,9.44
5,28,3.034
5,29,4.335
5,29,7.373
5,28,7.48
5,28,8.428
5,28,8.463
5,28,9.008
5,28,9.879
6,22,3.218
6,22,3.433
6,22,9.828
6,22,9.871
7,15,0.945
7,15,1.094
7,15,1.128
7,15,1.504
7,15,1.783
7,15,10.17
7,15,10.843
7,15,11.141
8,17,3.142
8,17,10.142
9,27,9.997
9,27,10.212
9,27,10.249
10,29,2.881
10,29,3.081
